Sun Jan  9 16:40:04 2022    Face_Detector/Viola_and_jones/output.dat

         1207220 function calls (1206955 primitive calls) in 11.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      543    0.001    0.000    0.035    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:320(_text_width)
      156    0.001    0.000    0.002    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\_ni_support.py:68(_get_output)
      216    0.001    0.000    0.002    0.000 D:\Anaconda\envs\pattern\lib\_weakrefset.py:58(__iter__)
      181    0.001    0.000    0.041    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:339(fp_write)
       48    0.001    0.000    0.209    0.004 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\filters.py:167(gaussian_filter1d)
       72    0.001    0.000    0.002    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:154(__init__)
      132    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
      349    0.001    0.000    0.070    0.000 D:\Anaconda\envs\pattern\lib\site-packages\colorama\ansitowin32.py:160(write)
      543    0.001    0.000    0.036    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:324(disp_len)
      506    0.001    0.000    0.066    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:141(inner)
     1194    0.001    0.000    0.001    0.000 {built-in method time.time}
       37    0.001    0.000    0.024    0.001 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1183(update)
      181    0.001    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:154(__init__)
       24    0.001    0.000    0.080    0.003 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\filters.py:343(sobel)
        1    0.001    0.001   11.619   11.619 <string>:1(<module>)
      294    0.001    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:233(__call__)
       72    0.001    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\ctypes\__init__.py:47(create_string_buffer)
       12    0.001    0.000    0.043    0.004 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\measurements.py:467(_stats)
      730    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      144    0.001    0.000    0.026    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1266(fp_write)
       24    0.001    0.000    0.210    0.009 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\filters.py:220(gaussian_filter)
      109    0.001    0.000    0.061    0.001 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1305(refresh)
      349    0.001    0.000    0.071    0.000 D:\Anaconda\envs\pattern\lib\site-packages\colorama\ansitowin32.py:40(write)
     1188    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      279    0.001    0.000    0.002    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:288(format_interval)
       12    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\morphology.py:124(generate_binary_structure)
      288    0.000    0.000    0.002    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:114(__exit__)
       48    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
     3813    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      120    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\lib\type_check.py:279(iscomplexobj)
      288    0.000    0.000    0.002    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:111(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       72    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:207(_supports_unicode)
      216    0.000    0.000    0.001    0.000 {method 'remove' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       98    0.000    0.000    0.000    0.000 {built-in method now}
      144    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\_weakrefset.py:26(__exit__)
      360    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\colorama\ansitowin32.py:28(__getattr__)
      120    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(iscomplexobj)
      181    0.000    0.000    0.016    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:332(disp_trim)
       73    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\_weakrefset.py:81(add)
       48    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       12    0.000    0.000    0.032    0.003 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\morphology.py:215(_binary_erosion)
       12    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\numeric.py:1653(indices)
      362    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1037    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       12    0.000    0.000    0.000    0.000 {groupRectangles}
      216    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:101(wrapper_setattr)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      398    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      144    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\_weakrefset.py:20(__enter__)
       24    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
       71    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\_monitor.py:92(report)
       72    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
      398    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      372    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_asarray.py:14(asarray)
       72    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\_weakrefset.py:106(remove)
       12    0.000    0.000    0.005    0.000 {built-in method builtins.print}
      217    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      108    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\_ni_support.py:52(_normalize_sequence)
      216    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:228(__init__)
      444    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       83    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
      739    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
